pert	PCID	cell	type	trend	WTCS	WTCS_Pval	WTCS_FDR	NCS	Tau	TauRefSize	NCSct	N_upset	N_downset	t_gn_sym
MW-A1-2	3125011	SKB	trt_cp	down	-0.9281792528973982	3.1333298431520357e-6	3.4253247389296445e-5	-1.3091157441888828	-85.07271171941831	2338	-1.3091157441888828	2	1	NA
vinorelbine	73707409	SKB	trt_cp	down	-0.898465547451227	4.438883944465384e-6	3.4253247389296445e-5	-1.2672071586475149	-92.21556886227545	2338	-1.2672071586475149	2	1	TUBB
CGP-13501	3519541	SKB	trt_cp	down	-0.8946935488161009	4.569439354596719e-6	3.4253247389296445e-5	-1.261887084120005	-86.7835757057314	2338	-1.261887084120005	2	1	GABBR1
CGP-12177	2687	SKB	trt_cp	up	0.8961575607385751	4.525920884552941e-6	3.4253247389296445e-5	1.2466787929872782	84.85885372112917	2338	1.2466787929872782	2	1	ADRB1; ADRB2; ADRB3
ryuvidine	481747	SKB	trt_cp	down	-0.8802573840098151	5.222216405253393e-6	3.4253247389296445e-5	-1.241526134901823	-80.36783575705732	2338	-1.241526134901823	2	1	CDK2; CDK4
erythrosine	12961638	SKB	trt_cp	up	0.8803609861628188	5.222216405253393e-6	3.4253247389296445e-5	1.224703578596176	90.20530367835757	2338	1.224703578596176	2	1	NA
ganglioside	4673190	SKB	trt_cp	up	0.8783638880637272	5.309253345340949e-6	3.4253247389296445e-5	1.2219253396382848	91.27459366980325	2338	1.2219253396382848	2	1	NA
rhamnetin	5281691	SKB	trt_cp	down	-0.8650464586714862	5.874993455910067e-6	3.4253247389296445e-5	-1.2200724536415188	-90.59024807527801	2338	-1.2200724536415188	2	1	ALOX5; MAPK8
SB-525334	9967941	SKB	trt_cp	up	0.8669127341207871	5.787956515822511e-6	3.4253247389296445e-5	1.2059952048033673	82.20701454234388	2338	1.2059952048033673	2	1	TGFBR1
fillalbin	933171	SKB	trt_cp	down	-0.8540914430602599	6.353696626391628e-6	3.4253247389296445e-5	-1.2046213612262084	-80.92386655260907	2338	-1.2046213612262084	2	1	NA
